Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,IMU_backup
1698962794.7377653,0,1698962794,705893993,GPS1_Frame,0,0,0,,0.1079511583521447,0.08837523422847719,0.5353497462733341,0.833028819759898,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6e-06,0.000319,0.000544,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.282,-2.7,-9.524,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.62e-06,-3.61e-06,1.755e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.708,+001.814,+015.939,+00.0462,-00.0361,+00.1755,+00.282,-02.700,-09.524,+00.000006,+00.000319,+00.000544*62
"
1698962794.7570744,0,1698962794,738055467,GPS1_Frame,0,0,0,,0.10795867932123841,0.08839465295782403,0.5353689215469035,0.8330134613134325,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001233,0.001966,0.000628,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.278,-2.73,-9.479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.050000000000001e-06,-3.5000000000000004e-06,1.7690000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.711,+001.815,+015.941,+00.0505,-00.0350,+00.1769,+00.278,-02.730,-09.479,+00.001233,+00.001966,+00.000628*69
"
1698962794.7695363,0,1698962794,757715702,GPS1_Frame,0,0,0,,0.10796594873093422,0.08839932492965506,0.5353681501376507,0.8330125191645086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00115,-0.002454,0.000346,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.298,-2.722,-9.502,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.15e-06,-3.7300000000000003e-06,1.77e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.711,+001.815,+015.942,+00.0515,-00.0373,+00.1770,+00.298,-02.722,-09.502,+00.001150,-00.002454,+00.000346*60
"
1698962794.7853746,0,1698962794,775259733,GPS1_Frame,0,0,0,,0.1079544952299404,0.08838621271034189,0.5353406149011143,0.8330330908191271,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000299,0.001388,-0.001621,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.272,-2.7,-9.525,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.06e-06,-3.04e-06,1.718e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.707,+001.815,+015.940,+00.0506,-00.0304,+00.1718,+00.272,-02.700,-09.525,-00.000299,+00.001388,-00.001621*69
"
1698962794.8071713,0,1698962794,799613952,GPS1_Frame,0,0,0,,0.10795270077451724,0.08837335011187238,0.5353352070961275,0.8330381632487422,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001414,-0.002803,-0.0006,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.331,-2.725,-9.543,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.94e-06,-3.7300000000000003e-06,1.756e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.706,+001.814,+015.939,+00.0494,-00.0373,+00.1756,+00.331,-02.725,-09.543,-00.001414,-00.002803,-00.000600*6B
"
1698962794.8492918,0,1698962794,835202932,GPS1_Frame,0,0,0,,0.10795526654104236,0.08838527062628436,0.5353333452956236,0.8330377625155824,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000986,0.002921,0.000252,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.33,-2.741,-9.479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.04e-06,-3.7300000000000003e-06,1.7690000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.706,+001.815,+015.940,+00.0504,-00.0373,+00.1769,+00.330,-02.741,-09.479,+00.000986,+00.002921,+00.000252*68
"
1698962794.8663867,0,1698962794,850359439,GPS1_Frame,0,0,0,,0.10796569743137086,0.0883845778307386,0.5353482037529812,0.833026935529876,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000946,-0.000551,-0.000374,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.342,-2.743,-9.504,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.83e-06,-3.84e-06,1.756e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.708,+001.814,+015.941,+00.0483,-00.0384,+00.1756,+00.342,-02.743,-09.504,-00.000946,-00.000551,-00.000374*66
"
1698962794.9095342,0,1698962794,874871492,GPS1_Frame,0,0,0,,0.10795295258307289,0.08838809685826389,0.5353551539897894,0.8330237472358997,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000227,-0.00026,0.001005,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.33,-2.732,-9.508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.83e-06,-3.61e-06,1.7690000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.709,+001.815,+015.940,+00.0483,-00.0361,+00.1769,+00.330,-02.732,-09.508,-00.000227,-00.000260,+00.001005*64
"
1698962794.9531882,0,1698962794,901283025,GPS1_Frame,0,0,0,,0.10794670572007842,0.0883972296040728,0.535368602321083,0.8330149447466583,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000913,0.001008,0.000768,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.315,-2.689,-9.496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.1600000000000006e-06,-3.2800000000000004e-06,1.794e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.711,+001.816,+015.940,+00.0516,-00.0328,+00.1794,+00.315,-02.689,-09.496,-00.000913,+00.001008,+00.000768*66
"
1698962794.9536011,0,1698962794,926177978,GPS1_Frame,0,0,0,,0.1079290814651316,0.08839165313529827,0.5353992225088444,0.8329981401942185,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00122,-0.000821,0.000627,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.325,-2.709,-9.49,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.04e-06,-3.84e-06,1.7440000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.715,+001.816,+015.938,+00.0504,-00.0384,+00.1744,+00.325,-02.709,-09.490,-00.001220,-00.000821,+00.000627*6D
"
