Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,Raw
1679334426.161081,5047,1679334426,15136718,imu1_frame,0,0,0,,0.006803406848195234,0.01432172818858152,-0.6592132900414789,0.7517888267257229,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000964,0.000732,-0.000755,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.264,0.063,-9.646,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0251,0.3717,0.6448,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.500,+001.748,-000.496,+00.0251,+00.3717,+00.6448,+00.264,+00.063,-09.646,-00.000964,+00.000732,-00.000755*6E"
1679334426.179762,5048,1679334426,17597794,imu1_frame,0,0,0,,0.0068162209763774784,0.0143222973804098,-0.6592395408415008,0.7517656807280015,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00012,-0.000893,-0.000569,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.256,0.052,-9.77,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0418,0.3667,0.6478,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.504,+001.749,-000.495,+00.0418,+00.3667,+00.6478,+00.256,+00.052,-09.770,-00.000120,-00.000893,-00.000569*66"
1679334426.2093241,5049,1679334426,20126366,imu1_frame,0,0,0,,0.0068085352395089345,0.014328585115437545,-0.6591803702544121,0.7518175144060811,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001434,0.000329,-0.000532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.357,0.056,-9.688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0251,0.3717,0.6473,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.495,+001.749,-000.496,+00.0251,+00.3717,+00.6473,+00.357,+00.056,-09.688,-00.001434,+00.000329,-00.000532*6B"
1679334426.229984,5050,1679334426,22578716,imu1_frame,0,0,0,,0.006795413547472057,0.014340089981080047,-0.659180120073026,0.7518176331229302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0012,0.001362,-0.000386,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.241,0.086,-9.693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.021,0.3786,0.6458,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.495,+001.749,-000.498,+00.0210,+00.3786,+00.6458,+00.241,+00.086,-09.693,-00.001200,+00.001362,-00.000386*66"
1679334426.2574923,5051,1679334426,25111055,imu1_frame,0,0,0,,0.006801292047216023,0.014346590711900427,-0.6591865645453242,0.7518118054968058,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.5e-05,-0.000524,-0.000906,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.303,0.025,-9.747,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0439,0.3666,0.6479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.496,+001.750,-000.498,+00.0439,+00.3666,+00.6479,+00.303,+00.025,-09.747,-00.000075,-00.000524,-00.000906*6A"
1679334426.2800953,5052,1679334426,27568459,imu1_frame,0,0,0,,0.006794731251276493,0.01435234319932219,-0.659186439322602,0.7518118648206487,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001802,0.000886,-0.001511,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.267,0.098,-9.648,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0208,0.3718,0.6434,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.496,+001.750,-000.499,+00.0208,+00.3718,+00.6434,+00.267,+00.098,-09.648,-00.001802,+00.000886,-00.001511*64"
1679334426.3073556,5053,1679334426,30132484,imu1_frame,0,0,0,,0.006788421049829631,0.01435797720753948,-0.6591994355427105,0.7518004190011667,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001336,0.002622,-0.001253,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.282,0.081,-9.704,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.044,0.3678,0.6479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.498,+001.750,-000.500,+00.0440,+00.3678,+00.6479,+00.282,+00.081,-09.704,-00.001336,+00.002622,-00.001253*6A"
1679334426.3489344,5054,1679334426,32581257,imu1_frame,0,0,0,,0.006794480754597404,0.014352461787568322,-0.6591733176298062,0.7518233696798913,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001281,-0.001468,-0.000919,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.266,0.04,-9.755,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0229,0.3706,0.6447,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.494,+001.750,-000.499,+00.0229,+00.3706,+00.6447,+00.266,+00.040,-09.755,+00.001281,-00.001468,-00.000919*6E"
1679334426.3922446,5055,1679334426,35166430,imu1_frame,0,0,0,,0.006800860523401855,0.014358725188558763,-0.6592060050267421,0.7517945319326176,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000167,0.000248,-0.000174,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.32,0.113,-9.665,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0397,0.3667,0.6491,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.499,+001.751,-000.499,+00.0397,+00.3667,+00.6491,+00.320,+00.113,-09.665,+00.000167,+00.000248,-00.000174*67"
1679334426.392358,5056,1679334426,37622141,imu1_frame,0,0,0,,0.006794355505481708,0.014352521080051887,-0.6591667567081095,0.751829122023631,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.4e-05,0.000892,0.00152,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.254,0.088,-9.688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0356,0.3703,0.6476,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.493,+001.750,-000.499,+00.0356,+00.3703,+00.6476,+00.254,+00.088,-09.688,+00.000044,+00.000892,+00.001520*66"
1679334426.4368663,5057,1679334426,40139269,imu1_frame,0,0,0,,0.006813355790196697,0.014347517173522603,-0.6591734516863452,0.7518231757040622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000719,-0.001286,-0.000405,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.277,0.027,-9.739,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0239,0.3683,0.6486,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.494,+001.751,-000.497,+00.0239,+00.3683,+00.6486,+00.277,+00.027,-09.739,+00.000719,-00.001286,-00.000405*69"
